Index,Surname,FirstName,Address,City,Country,Email,LoyalityCard
0001,Evans,Linda,Petunia Road 41,Hyacinth Town,United Kingdom,evans.linda23@mail.com,Yes
0002,White,Richard,Cedar Lane 433,Alder Bay,Ireland,white.richard81@mail.com,Yes
0003,Jackson,Barbara,Maple Road 7,Azure City,Ireland,jackson.barbara41@mail.com,No
0004,Martin,Mary,Coral Avenue 639,Birch Town,Ireland,martin.mary86@mail.com,Yes
0005,Garcia,Andrew,Hyacinth Road 859,Elder Town,Ireland,garcia.andrew63@mail.com,No
0006,Hall,Kevin,Hibiscus Avenue 733,Black Bottom,United Kingdom,hall.kevin23@mail.com,Yes
0007,Harris,Paul,Crimson Road 980,Magenta Bottom,United Kingdom,harris.paul27@mail.com,Yes
0008,Miller,Karen,Ruby Avenue 754,Cypress Bottom,Ireland,miller.karen30@mail.com,Yes
0009,Taylor,Andrew,Freesia Lane 766,Maple Town,United Kingdom,taylor.andrew35@mail.com,Yes
0010,Gonzalez,Daniel,Violet Road 143,Gray Town,Ireland,gonzalez.daniel92@mail.com,Yes
0011,Lopez,Karen,Begonia Avenue 340,Fir Bay,United Kingdom,lopez.karen29@mail.com,Yes
0012,Nelson,Kenneth,Hickory Lane 612,Cedar Village,United Kingdom,nelson.kenneth79@mail.com,Yes
0013,Lewis,Kenneth,Jasmine Lane 474,Beige Town,Ireland,lewis.kenneth42@mail.com,Yes
0014,Taylor,Karen,Larch Road 440,Snapdragon Town,United Kingdom,taylor.karen76@mail.com,No
0015,Perez,Andrew,Birch Street 594,Dogwood Town,United Kingdom,perez.andrew33@mail.com,Yes
0016,Phillips,Karen,Orchid Avenue 455,Poplar Town,United Kingdom,phillips.karen32@mail.com,No
0017,Thomas,Ashley,Black Road 617,Hibiscus City,United Kingdom,thomas.ashley79@mail.com,Yes
0018,Lee,Edward,Turquoise Lane 961,Green City,United Kingdom,lee.edward57@mail.com,No
0019,Gonzalez,Paul,Orange Road 554,Peony Bottom,United Kingdom,gonzalez.paul22@mail.com,No
0020,Ramirez,James,Hawthorn Avenue 839,Jasmine Village,Ireland,ramirez.james26@mail.com,Yes
0021,Lewis,Sarah,Daffodil Avenue 464,Maple Village,Ireland,lewis.sarah38@mail.com,No
0022,Johnson,Nancy,Bluebell Street 906,Petunia Village,Ireland,johnson.nancy97@mail.com,No
0023,Martin,Kenneth,Fir Road 483,Cedar Bay,Ireland,martin.kenneth88@mail.com,No
0024,Campbell,Charles,Holly Street 700,Dahlia Town,Ireland,campbell.charles31@mail.com,Yes
0025,Adams,Betty,Cyan Street 323,Ruby Bottom,Ireland,adams.betty73@mail.com,No
0026,Scott,Sandra,Lavender Street 878,Tulip City,Ireland,scott.sandra39@mail.com,No
0027,Baker,Sandra,Oak Street 359,Turquoise Village,United Kingdom,baker.sandra65@mail.com,Yes
0028,Walker,Amanda,Pink Road 200,Beige Village,United Kingdom,walker.amanda72@mail.com,Yes
0029,Clark,John,Bluebell Road 374,Camellia Town,United Kingdom,clark.john13@mail.com,Yes
0030,Scott,Steven,Gray Street 70,Silver City,United Kingdom,scott.steven61@mail.com,Yes
0031,Thompson,Kevin,Pine Lane 552,Cypress Bay,Ireland,thompson.kevin58@mail.com,Yes
0032,Moore,Anthony,Zinnia Avenue 726,Walnut Town,Ireland,moore.anthony56@mail.com,Yes
0033,Harris,John,Iris Avenue 435,Elder City,Ireland,harris.john32@mail.com,Yes
0034,King,Charles,Beige Road 130,Azure Bottom,Ireland,king.charles76@mail.com,Yes
0035,White,Matthew,Aspen Street 322,Teal Bay,Ireland,white.matthew56@mail.com,No
0036,Gonzalez,Ashley,Purple Lane 885,Juniper Village,United Kingdom,gonzalez.ashley71@mail.com,No
0037,Brown,Steven,Hibiscus Avenue 322,Zinnia City,United Kingdom,brown.steven15@mail.com,No
0038,Lopez,Lisa,Cherry Road 512,Gold Village,United Kingdom,lopez.lisa47@mail.com,No
